term,estimate,std_error,t_statistic,p_value,conf_low,conf_high,model,initial_price_adjusted,component,sale_year
sale_year::2014:treated,0.052757503297074,0.080966212100834,0.651599005661406,0.516625509343213,-0.108500683650838,0.214015690244985,event_hedonic_log,1,treatment,2014
sale_year::2015:initial_price_100k,0.0078155345579253,0.0187055024854978,0.417820080694683,0.677256794174862,-0.0294397023920809,0.0450707715079315,event_hedonic_log,1,initial_price_year,2015
sale_year::2015:treated,-0.0522076721696829,0.103815547945802,-0.502888759947002,0.61649674138969,-0.258974255468589,0.154558911129223,event_hedonic_log,1,treatment,2015
sale_year::2016:initial_price_100k,0.0157109532999222,0.0200181538996504,0.784835273955837,0.434989821065541,-0.024158655517663,0.0555805621175074,event_hedonic_log,1,initial_price_year,2016
sale_year::2016:treated,-0.0243172173020945,0.0973349891232535,-0.249830174340514,0.803392734074711,-0.21817664909894,0.169542214494751,event_hedonic_log,1,treatment,2016
sale_year::2017:initial_price_100k,-0.0200064818445843,0.0212594384376526,-0.941063514130775,0.349653951869382,-0.062348323077284,0.0223353593881154,event_hedonic_log,1,initial_price_year,2017
sale_year::2017:treated,0.0329516289993752,0.0969675943355878,0.339821042536493,0.734928664059827,-0.16017607266195,0.226079330660701,event_hedonic_log,1,treatment,2017
sale_year::2018:initial_price_100k,-0.0615219299776676,0.0206966863657772,-2.9725497546021,0.0039542097819429,-0.102742953322792,-0.020300906632543,event_hedonic_log,1,initial_price_year,2018
sale_year::2018:treated,0.0419177696441908,0.0966275832711364,0.433807492903654,0.665657200962608,-0.150532741293091,0.234368280581472,event_hedonic_log,1,treatment,2018
sale_year::2008:treated,-0.0709143659405409,0.103393005423719,-0.685871985729829,0.494880848714505,-0.276839382871803,0.135010650990722,event_log,0,treatment,2008
sale_year::2009:treated,0.00230820489846808,0.105352737845284,0.0219093015110609,0.982577726236332,-0.207519957419059,0.212136367215995,event_log,0,treatment,2009
sale_year::2010:treated,-0.190860408164727,0.0907606238325006,-2.10289881344316,0.0387850282432306,-0.371625856686181,-0.0100949596432726,event_log,0,treatment,2010
sale_year::2011:treated,-0.076505507060142,0.103835228858809,-0.7367972113219,0.463514115736298,-0.283311288294418,0.130300274174134,event_log,0,treatment,2011
sale_year::2013:treated,-0.00719820955752227,0.0769282975576835,-0.0935703737902791,0.92569668468366,-0.160414192709755,0.146017773594711,event_log,0,treatment,2013
sale_year::2014:treated,0.0930494780681285,0.0835860281362187,1.11321808372671,0.269123354508252,-0.0734265247197665,0.259525480856023,event_log,0,treatment,2014
sale_year::2015:treated,-0.0108096147947759,0.11176488855626,-0.0967174479786164,0.923205379900009,-0.233408682052267,0.211789452462715,event_log,0,treatment,2015
sale_year::2016:treated,-0.0139172735310128,0.099700193745187,-0.139591238574545,0.889352228618592,-0.212487418589568,0.184652871527542,event_log,0,treatment,2016
sale_year::2017:treated,0.00529312386234946,0.100257304294694,0.0527953938078263,0.958033459785675,-0.194386603018203,0.204972850742902,event_log,0,treatment,2017
sale_year::2018:treated,-0.0226267098853316,0.0956592995970062,-0.23653434617077,0.813654411977608,-0.213148716750482,0.167895296979818,event_log,0,treatment,2018
sale_year::2008:initial_price_100k,-0.0898202474985065,0.0187611495743714,-4.78756630250445,8.14263950849812e-06,-0.127186315231229,-0.0524541797657842,event_log,1,initial_price_year,2008
sale_year::2008:treated,-0.0147412662671121,0.0905484529835037,-0.162799758376852,0.871108199992075,-0.195084139920054,0.16560160738583,event_log,1,treatment,2008
sale_year::2009:initial_price_100k,-0.0139630418844264,0.0194076269057033,-0.719461578289257,0.474063166946769,-0.0526166808107186,0.0246905970418658,event_log,1,initial_price_year,2009
sale_year::2009:treated,0.016553681166202,0.107149820272697,0.1544909839706,0.877632155713205,-0.196853680999278,0.229961043331682,event_log,1,treatment,2009
sale_year::2010:initial_price_100k,-0.0318847179997997,0.0210682560679442,-1.51340091448352,0.134325540959958,-0.0738457865433042,0.0100763505437047,event_log,1,initial_price_year,2010
sale_year::2010:treated,-0.165918900675336,0.0952370360632341,-1.74216783232493,0.0855245211959093,-0.35559989682622,0.0237620954755489,event_log,1,treatment,2010
sale_year::2011:initial_price_100k,-0.0413087755347281,0.0212232150585722,-1.9463957473325,0.0553034107606817,-0.0835784716554846,0.000960920586028362,event_log,1,initial_price_year,2011
sale_year::2011:treated,-0.052957744794817,0.103133712952162,-0.513486262434683,0.609100813026123,-0.258366336012593,0.152450846422959,event_log,1,treatment,2011
sale_year::2013:initial_price_100k,0.004912753353186,0.0158528138333992,0.309897877109719,0.757486771888899,-0.0266608617445912,0.0364863684509632,event_log,1,initial_price_year,2013
sale_year::2013:treated,-0.00482395740842407,0.0776615549807905,-0.0621151277439303,0.950634218542035,-0.159500349286078,0.149852434469229,event_log,1,treatment,2013
sale_year::2014:initial_price_100k,0.00870776745534629,0.0208702979297465,0.417232541895585,0.6776845924069,-0.0328590332864536,0.0502745681971461,event_log,1,initial_price_year,2014
sale_year::2014:treated,0.0920578939260711,0.086367797502583,1.0658821527007,0.289851398380189,-0.0799584827151603,0.264074270567303,event_log,1,treatment,2014
sale_year::2015:initial_price_100k,0.00852306644303243,0.0202814732183207,0.42023902067101,0.675496637147229,-0.0318709882491388,0.0489171211352037,event_log,1,initial_price_year,2015
sale_year::2015:treated,-0.0144160548235835,0.11456941068932,-0.125828131059134,0.900200245637368,-0.242600811996632,0.213768702349465,event_log,1,treatment,2015
sale_year::2016:initial_price_100k,0.0105261344338978,0.0209661369530795,0.502054072118982,0.617080968165257,-0.0312315462656094,0.052283815133405,event_log,1,initial_price_year,2016
sale_year::2016:treated,-0.0232171674286945,0.104701109056439,-0.221747101228691,0.825105520567992,-0.231747498535823,0.185313163678434,event_log,1,treatment,2016
sale_year::2017:initial_price_100k,-0.0111539275529612,0.0211105489398795,-0.52835800645101,0.598790390809548,-0.0531992296510824,0.03089137454516,event_log,1,initial_price_year,2017
sale_year::2017:treated,0.0170305434901921,0.102212963504684,0.166618234187209,0.86811294473398,-0.186544216272696,0.220605303253081,event_log,1,treatment,2017
sale_year::2018:initial_price_100k,-0.037689351494357,0.0223631095477414,-1.6853359061671,0.0960258803584618,-0.0822293442470766,0.00685064125836263,event_log,1,initial_price_year,2018
sale_year::2018:treated,0.000249463514404751,0.0991074010631659,0.0025171027766711,0.997998240093193,-0.197140032596171,0.197638959624981,event_log,1,treatment,2018
